linkedin,instagram,twitter,facebook,description,technographic,company_type,validation_status,input_domain
,,,,,"{'tag-managers': ['Google Tag Manager'], 'javascript-frameworks': ['jQuery']}","{'certificate': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.zeolite.co.jp
,,https://twitter.com/FocusVisionCtr,https://www.facebook.com/focusvisioncenter,"Vision Therapist in Spring Lake Heights, NJ - Visit our skilled Vision Therapist in Spring Lake Heights, NJ. Call today or request an appointment online.","{'font-scripts': ['Font Awesome', 'Google Font API'], 'widgets': ['OWL Carousel'], 'javascript-frameworks': ['jQuery', 'RequireJS'], 'photo-galleries': ['jQuery'], 'ecommerce': ['WooCommerce'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.focusvisioncenter.com
,,,,,{'font-scripts': ['Google Font API']},"{'ecommerce': 'Yes', 'video_content': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'webinar': 'No'}",valid,www.thelanguageofloveandlight.com
,,https://twitter.com/WestMariculture,http://www.facebook.com/WestMariculture,,"{'font-scripts': ['Font Awesome', 'Google Font API'], 'widgets': ['OWL Carousel'], 'javascript-frameworks': ['jQuery'], 'photo-galleries': ['jQuery', 'OWL Carousel'], 'web-frameworks': ['Twitter Bootstrap', 'UIKit']}","{'ecommerce': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.westmariculture.com
,//instagram.com/lkspoolsspas,,//facebook.com/lkspools,,"{'cms': ['Weebly'], 'javascript-frameworks': ['jQuery']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.lkspools.co.uk
https://www.linkedin.com/company/mountz-inc,https://www.instagram.com/mountztorque,https://twitter.com/mountztorque,https://www.facebook.com/mountztorquetool,,"{'web-frameworks': ['Twitter Bootstrap'], 'javascript-frameworks': ['jQuery']}","{'webinar': 'Yes', 'ecommerce': 'Yes', 'event': 'Yes', 'job_page': 'Yes', 'certificate': 'Yes', 'job_opening_admin': 'Yes', 'job_opening_engg': 'Yes', 'job_opening_analytics': 'No', 'job_opening_IT': 'Yes', 'job_opening_marketing': 'Yes', 'job_opening_sales': 'Yes', 'ai_first': 'No', 'community': 'No', 'demo': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No'}",valid,www.mountztorque.com
https://tr.linkedin.com/in/su-makina-65214a153,https://www.instagram.com/su_makina,,https://www.facebook.com/sumakina,Water Pump Parts Manufacturing Engineering And Design. Our company named‘Su Makina San. ve Tic. Ltd. Sti.‘ was established in 2006. We are approved supplier of some pump companies in Europe.,"{'font-scripts': ['Google Font API'], 'web-frameworks': ['Twitter Bootstrap', 'UIKit'], 'cache-tools': ['WP Rocket'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'marketing-automation': ['Yoast SEO'], 'javascript-frameworks': ['jQuery']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.sumakina.com
,https://www.instagram.com/christmashouseinn,https://twitter.com/Christmas_House,https://www.facebook.com/ChristmasHouseInn,,{'font-scripts': ['Google Font API']},"{'ecommerce': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.christmashouseinn.com
,https://www.instagram.com/blissfulbeautybar,,http://www.facebook.com/10105380664831411,,,"{'ecommerce': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.blissfulbeautybars.com
https://www.linkedin.com/company/historicalwindows,https://www.instagram.com/historicalwindows,,https://www.facebook.com/historicalwindowsNY,,{'font-scripts': ['Google Font API']},"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.historicalwindows.com
http://www.linkedin.com,,,https://www.facebook.com/groups/wedowegroup,"Innovaties voor inclusie in de creatieve sector. Deze drive om samen Ã©cht impact te hebben is zelfs verwerkt in onze naam: wedowe staat voor wij samen (we), werkend (do) aan projecten, die een wezenlijke (we) verandering teweeg brengen.","{'font-scripts': ['Google Font API'], 'javascript-frameworks': ['jQuery']}","{'ecommerce': 'Yes', 'video_content': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'webinar': 'No'}",valid,www.wedowe.org
,,,,,"{'font-scripts': ['Font Awesome', 'Google Font API'], 'maps': ['Google Maps'], 'ecommerce': ['WooCommerce'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'javascript-frameworks': ['jQuery']}","{'ecommerce': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.jazzyballoons.co.uk
,https://www.instagram.com/bclsreads,https://www.twitter.com/askbcls,https://www.facebook.com/burlingtoncountylibrary,,{'font-scripts': ['Google Font API']},"{'event': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.bcls.lib.nj.us
,https://www.instagram.com/somebodiesproject,,,,,"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.warrenphotography.com
,https://www.instagram.com/leadingedgemag,https://twitter.com/LeadingEdgeMag,https://www.facebook.com/LeadingEdgeMag,BYU's premier science fiction and fantasy magazine,"{'font-scripts': ['Google Font API'], 'javascript-frameworks': ['Modernizr', 'Underscore.js', 'jQuery'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'marketing-automation': ['Yoast SEO']}","{'ecommerce': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.leadingedgemagazine.com
,,,,,,"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.neurotek.com
,,,,"Novatool, Inc. was founded in 1983 to provide a single source for all your Tool and Die, and pressroom requirements. In 2008, we added a Cutting Tool division to our business","{'font-scripts': ['Google Font API'], 'javascript-frameworks': ['RequireJS', 'jQuery'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'cache-tools': ['WordPress Super Cache']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.novatoolinc.com
https://www.linkedin.com,,,https://www.facebook.com/businessvaluationsgroup,,"{'font-scripts': ['Font Awesome', 'Google Font API'], 'javascript-frameworks': ['Modernizr', 'jQuery'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'marketing-automation': ['Yoast SEO'], 'video-players': ['YouTube']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.bsalesgroup.com
,,https://twitter.com/tuQuejaSuma,,"Comunidad online donde puedes reclamar gratis hacia cualquier empresa. Notificamos a las empresas para que te ofrezcan una solución y también avisamos a otros usuarios para que te ayudenapoyen. Más de 70 empresas de Argentina, Chile, Colombia, España y México ofrecen soluciones a través del sitio. U",{'font-scripts': ['Google Font API']},"{'ecommerce': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.tuquejasuma.com
,,,https://www.facebook.com/NewtonFinancialSolutionsLLC,,"{'cms': ['Drupal'], 'programming-languages': ['PHP'], 'font-scripts': ['Google Font API'], 'web-frameworks': ['Twitter Bootstrap'], 'javascript-frameworks': ['jQuery']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.newtonfinancialsolutions.com
linkedin,instagram,twitter,facebook,description,technographic,company_type,validation_status,input_domain
,,,,,"{'javascript-graphics': ['Javascript Infovis Toolkit'], 'javascript-frameworks': ['Lo-dash', 'Prototype', 'React', 'RequireJS'], 'cms': ['Wix']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.chavitosnatureschool.com
,https://www.instagram.com/jalactation,https://twitter.com/jalactation,https://www.facebook.com/jalactation,Management tools to run your lactation consultation practice.,"{'font-scripts': ['Google Font API'], 'javascript-frameworks': ['React']}","{'event': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.jalactation.com
,,,https://www.facebook.com/Cache-Meadow-Veterinary-Clinic-145805985435277,,"{'font-scripts': ['Google Font API'], 'web-frameworks': ['Twitter Bootstrap'], 'javascript-frameworks': ['jQuery']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.cachemeadow.com
https://www.linkedin.com/company/75546634/admin,https://www.instagram.com/cfcfurnishing,https://twitter.com/CfcFurnishing,https://www.facebook.com/CFC-Furnishing-106330388164224,"CFC Furnishing Trivandrum is known for its best quality home furnishings in Trivandrum offering blinds, curtains, cushion covers, wallcoverings and fabrics.","{'font-scripts': ['Font Awesome', 'Google Font API'], 'javascript-frameworks': ['Underscore.js', 'jQuery'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'video-players': ['YouTube']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.cfcfurnishing.in
,https://www.instagram.com/thestarhometeam,,https://www.facebook.com/TheStarHomeTeam,,,"{'community': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.starhometeam.com
,,,www.facebook.com/computermedicllc,,"{'javascript-frameworks': ['Backbone.js', 'Underscore.js', 'Lightbox', 'jQuery'], 'font-scripts': ['Google Font API'], 'photo-galleries': ['Lightbox', 'jQuery'], 'widgets': ['OWL Carousel'], 'payment-processors': ['Stripe'], 'web-frameworks': ['Twitter Bootstrap'], 'ecommerce': ['WooCommerce'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'marketing-automation': ['Yoast SEO']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.1fixcomputermedic.com
,,,,"Come visit Nissan Of Clinton for a variety of new and pre-owned vehicles. Serving Sampson, Bladen, Cumberland, Wake, and other surrounding counties! We are always ready to assist you!!",,"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.nissanofclinton.com
https://www.linkedin.com/company/homeq-technologies-ab,https://www.instagram.com/homeqsverige,,https://www.facebook.com/theHomeQ,HomeQ är störst i landet på långtidsboende och har tiotusentals lediga hyresrätter direkt från Sveriges främsta hyresvärdar. Bäst av allt? HomeQ är 100% gratis.,"{'tag-managers': ['Google Tag Manager'], 'web-frameworks': ['Twitter Bootstrap']}","{'job_page': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.homeq.se
,,,,,,"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",forbidden,www.msbroofing.co.uk
,,,https://www.facebook.com/KDEFarms,,{'font-scripts': ['Google Font API']},"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.kdfarms.net
